price,location,mileage,transmission,drivetrain,fuel type,major options,brand,color,no_of_features,engine-hp,engine-l,engine-type,age
26657,Richmond,7540,Automatic,All-Wheel Drive,Gasoline,"Leather Seats, Backup Camera, Parking Sensors, Heated Seats, Android Auto, CarPlay",Ford,Gray,6.0,179.0,1.5,I4,4
33800,Squamish,48990,Automatic,Front-Wheel Drive,Gasoline,"Leather Seats, Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Parking Sensors, Heated Seats, CarPlay",Toyota,Black,10.0,272.65777777777777,1.8,I4,2
29995,Surrey,107000,Automatic,Four-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Parking Sensors, Alloy Wheels",RAM,Silver,4.0,395.0,5.7,V8,5
38888,Richmond,119163,Automatic,Four-Wheel Drive,Gasoline,"Sunroof/Moonroof, Navigation System, Alloy Wheels, Chrome Wheels, Bluetooth, Backup Camera, Remote Start, Parking Sensors, Quick Order Package",RAM,Other,9.0,383.0,5.7,V8,6
22500,Burnaby,45000,Automatic,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Parking Sensors, Heated Seats",Kia,Other,8.0,272.65777777777777,2.0,I4,5
12500,Burnaby,14000,Automatic,Front-Wheel Drive,Flex Fuel Vehicle,"Bluetooth, Backup Camera, Parking Sensors, Heated Seats",Ford,Gray,4.0,160.0,2.0,I4,6
43973,Nanaimo,10914,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Heated Seats, Convenience Package",Audi,Gray,4.0,184.0,2.0,I4,1
28900,Victoria,1412,Automatic,All-Wheel Drive,Gasoline,Heated Seats,Ford,Other,1.0,272.65777777777777,1.5,I3,1
48997,Langley,44000,Automatic,Four-Wheel Drive,Gasoline,"Leather Seats, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Off Road Package, Heated Seats, Android Auto, CarPlay",Chevrolet,Red,10.0,308.0,3.6,V6,2
41600,North Vancouver,24399,Automatic,Front-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Third Row Seating, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats",Honda,Gray,11.0,280.0,3.5,V6,3
29888,Victoria,53023,Manual,Rear-Wheel Drive,Gasoline,,Ford,Other,-1.0,435.0,5.0,V8,7
57467,Surrey,5000,Automatic,All-Wheel Drive,Gasoline,"Sunroof/Moonroof, Navigation System, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats, Android Auto, CarPlay",Mercedes-Benz,White,9.0,255.0,2.0,I4,1
75761,Victoria,5800,Automatic,Four-Wheel Drive,Gasoline,,Nissan,Gray,-1.0,400.0,5.6,V8,1
52395,Abbotsford,17932,Automatic,Rear-Wheel Drive,Gasoline,"Leather Seats, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Parking Sensors, Heated Seats, Android Auto, CarPlay",Chevrolet,Black,9.0,455.0,6.2,V8,3
44925,Victoria,32430,Automatic,All-Wheel Drive,Gasoline,Premium Package,BMW,White,1.0,248.0,2.0,I4,3
27899,Richmond,48603,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Heated Seats, Alloy Wheels",Kia,White,4.0,185.0,2.4,I4,2
128595,Richmond,30000,Automatic,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Technology Package, Third Row Seating, Bluetooth, Backup Camera, Blind Spot Monitoring, Remote Start, Heated Seats, Comfort Package",Mercedes-Benz,Black,12.0,272.65777777777777,4.0,V8,2
2990,New Westminster,202000,Automatic,Front-Wheel Drive,Gasoline,,Toyota,Other,-1.0,133.0,2.2,I4,24
14500,Surrey,196000,Automatic,All-Wheel Drive,Gasoline,Steel Wheels,RAM,White,1.0,395.0,5.7,V8,8
3990,New Westminster,201000,Automatic,Front-Wheel Drive,Gasoline,,Toyota,Other,-1.0,210.0,3.0,V6,20
15800,Surrey,230000,Automatic,Rear-Wheel Drive,Gasoline,,GMC,White,-1.0,285.0,4.8,V8,8
41566,Langley,4801,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Sunroof/Moonroof, Blind Spot Monitoring, Android Auto, Alloy Wheels, CarPlay",INFINITI,Gray,6.0,300.0,3.0,V6,1
36392,Surrey,16040,Automatic,Four-Wheel Drive,Gasoline,"Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Remote Start, Heated Seats, Android Auto, CarPlay, Multi Zone Climate Control",GMC,Other,12.0,170.0,1.5,I4,1
21990,New Westminster,15000,Automatic,Front-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Bluetooth, Backup Camera, Blind Spot Monitoring, Heated Seats",Kia,White,7.0,147.0,2.0,I4,2
49988,Burnaby,9514,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Sunroof/Moonroof, Heated Seats, Alloy Wheels",Volvo,Black,5.0,248.0,2.0,I4,2
27800,Burnaby,46998,Automatic,Four-Wheel Drive,Gasoline,"Backup Camera, Alloy Wheels",GMC,Black,2.0,193.0,2.5,I4,3
43953,Nanaimo,13138,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Heat Package, Heated Seats, Convenience Package",Audi,Blue,5.0,184.0,2.0,I4,1
9400,Burnaby,36000,Automatic,Front-Wheel Drive,Gasoline,"Navigation System, Bluetooth",Nissan,Gray,2.0,109.0,1.6,I4,7
41432,Surrey,6433,Automatic,All-Wheel Drive,Gasoline,,Mazda,Red,-1.0,250.0,2.5,I4,1
26800,Burnaby,48315,Automatic,Front-Wheel Drive,Electric,"Bluetooth, Backup Camera, Android Auto, Alloy Wheels, CarPlay",Chevrolet,Orange,5.0,272.65777777777777,3.2029230769230743,I4,5
32990,Surrey,39408,Automatic,All-Wheel Drive,Gasoline,"Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Parking Sensors, Premium Package, Heated Seats, CarPlay, Multi Zone Climate Control",BMW,Black,11.0,228.0,2.0,I4,3
24800,Langley City,147000,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Alloy Wheels",RAM,Blue,2.0,395.0,5.7,V8,5
32850,Surrey,29124,Automatic,All-Wheel Drive,Gasoline,,Toyota,White,-1.0,159.0,2.7,I4,6
58325,Surrey,2652,Automatic,All-Wheel Drive,Gasoline,"Sunroof/Moonroof, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Premium Package, Heated Seats, Cold Weather Package",Volvo,Gray,9.0,250.0,2.0,I4,1
18944,Nanaimo,9598,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Heated Seats, Backup Camera",Kia,Red,3.0,120.0,1.6,I4,2
9998,Chilliwack,221149,Automatic,Front-Wheel Drive,Gasoline,"Heated Seats, Backup Camera, Alloy Wheels",Ford,Gray,3.0,178.0,1.6,I4,6
59985,Burnaby,19545,Automatic,Four-Wheel Drive,Gasoline,Alloy Wheels,Toyota,White,1.0,270.0,4.0,V6,1
21990,Burnaby,70545,Automatic,Front-Wheel Drive,Gasoline,,Honda,Gray,-1.0,180.0,1.5,I4,4
8888,Coquitlam,69787,Automatic,All-Wheel Drive,Gasoline,,Scion,Silver,-1.0,272.65777777777777,1.3,I4,8
26873,Burnaby,2147,Automatic,Front-Wheel Drive,Gasoline,,Honda,White,-1.0,141.0,1.8,I4,0
70995,Duncan,13586,Automatic,Four-Wheel Drive,Gasoline,,GMC,Other,-1.0,401.0,6.6,V8,1
34800,Surrey,61000,Automatic,Four-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Alloy Wheels",Ford,Silver,3.0,272.65777777777777,3.2029230769230743,I4,4
49000,Richmond,32640,Automatic,All-Wheel Drive,Gasoline,"Sport Package, Navigation System, Premium Package, M Sport Package, CarPlay",BMW,Blue,5.0,248.0,2.0,I4,3
27995,Vancouver,55022,Manual,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Heated Seats, Alloy Wheels",Subaru,Black,4.0,268.0,2.0,I4,4
114995,Richmond,23931,Automatic,Four-Wheel Drive,Gasoline,"Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Adaptive Suspension, Blind Spot Monitoring, Parking Sensors, Heated Seats, Android Auto, CarPlay, Bluetooth, Backup Camera, Remote Start",Jeep,Black,13.0,272.65777777777777,6.2,V8,2
42490,Vancouver,17992,Automatic,Four-Wheel Drive,Gasoline,Alloy Wheels,Jeep,Gray,1.0,285.0,3.6,V6,4
49000,Abbotsford,14046,Automatic,Rear-Wheel Drive,Gasoline,"RS Package, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Heated Seats, Android Auto, CarPlay",Chevrolet,Black,8.0,335.0,3.6,V6,1
53490,Vancouver,7497,Automatic,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Blind Spot Monitoring, Parking Sensors, Heated Seats, Android Auto, CarPlay, Bluetooth, Backup Camera, Remote Start",Lexus,White,13.0,235.0,2.0,I4,1
87998,Surrey,11308,Automatic,Four-Wheel Drive,Diesel,"Bluetooth, Backup Camera",RAM,Silver,2.0,370.0,6.7,I6,1
26995,Langley City,31264,Automatic,All-Wheel Drive,Flex Fuel Vehicle,,Dodge,White,-1.0,283.0,3.6,V6,3
21000,Surrey,132793,Automatic,Four-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Alloy Wheels",RAM,White,3.0,395.0,5.7,V8,9
96266,Surrey,2000,Automatic,All-Wheel Drive,Gasoline,"Sunroof/Moonroof, Navigation System, Third Row Seating, Bluetooth, Adaptive Suspension, Premium Package, Android Auto, CarPlay",Mercedes-Benz,Black,8.0,362.0,3.0,I6,1
61467,Surrey,5000,Automatic,All-Wheel Drive,Gasoline,"Sunroof/Moonroof, Navigation System, Technology Package, Bluetooth, Backup Camera, Blind Spot Monitoring, Remote Start, Parking Sensors, Heated Seats, Android Auto, CarPlay, Convenience Package",Mercedes-Benz,White,12.0,255.0,2.0,I4,1
53345,Richmond,901,Automatic,All-Wheel Drive,Gasoline,,BMW,Gray,-1.0,255.0,2.0,I4,0
69888,Surrey,4110,Automatic,All-Wheel Drive,Gasoline,"Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Third Row Seating, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats, Cold Weather Package",Volvo,Black,11.0,316.0,2.0,I4,1
26995,Surrey,112659,Automatic,Front-Wheel Drive,Gasoline,"Bluetooth, Leather Seats, Backup Camera, Heated Seats, Alloy Wheels, Third Row Seating",Nissan,Gray,6.0,317.0,5.6,V8,8
32800,Richmond,29160,Manual,Rear-Wheel Drive,Gasoline,,Subaru,White,-1.0,272.65777777777777,3.2029230769230743,I4,2
40900,North Vancouver,22269,Automatic,All-Wheel Drive,Gasoline,"Sport Package, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Blind Spot Monitoring, Parking Sensors, Premium Package, Heated Seats, Android Auto, CarPlay, Multi Zone Climate Control, Bluetooth, Backup Camera, M Sport Package",BMW,Black,15.0,228.0,2.0,I4,1
29900,New Westminster,167000,Automatic,Four-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Navigation System, Heated Seats, Tow Package, Alloy Wheels",Ford,Black,6.0,375.0,3.5,V6,4
74850,Langley,18745,Automatic,All-Wheel Drive,Gasoline,"LE Package, Sunroof/Moonroof, Bluetooth, Adaptive Suspension, Backup Camera, Blind Spot Monitoring, Heated Seats, Multi Zone Climate Control",Audi,Gray,8.0,394.0,2.5,I5,2
22899,Surrey,79947,Automatic,Rear-Wheel Drive,Gasoline,"Sunroof/Moonroof, Remote Start",Dodge,Red,2.0,292.0,3.6,V6,5
69995,Vancouver,11534,Automatic,All-Wheel Drive,Gasoline,"Sunroof/Moonroof, Navigation System, Third Row Seating, Bluetooth, Heated Seats, Android Auto, Cold Weather Package, CarPlay",Volvo,Black,8.0,316.0,2.0,I4,1
69500,Surrey,4295,Automatic,Four-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Third Row Seating, Adaptive Suspension, Blind Spot Monitoring, Heated Seats, Android Auto, Quick Order Package, CarPlay, Bluetooth, Backup Camera, Remote Start",Jeep,White,15.0,290.0,3.6,V6,1
29980,Surrey,1795,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Heated Seats, Alloy Wheels, Third Row Seating",Mitsubishi,Black,5.0,166.0,2.4,I4,3
53345,Richmond,1426,Automatic,All-Wheel Drive,Gasoline,,BMW,Blue,-1.0,255.0,2.0,I4,0
94888,Coquitlam,65314,Automatic,Four-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Adaptive Suspension, Blind Spot Monitoring, Parking Sensors, Heated Seats, Tow Package, Quick Order Package, Audio Package, Bluetooth, Backup Camera, Remote Start",Jeep,Red,15.0,272.65777777777777,6.2,V8,4
28990,New Westminster,8000,Manual,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Bluetooth, Backup Camera, Blind Spot Monitoring, Heated Seats",Mazda,Gray,8.0,186.0,2.5,I4,1
47000,Burnaby,45000,Automatic,Rear-Wheel Drive,Gasoline,"Bluetooth, Backup Camera",Ford,White,2.0,275.0,3.7,V6,4
17995,North Vancouver,104485,Automatic,All-Wheel Drive,Gasoline,"Sunroof/Moonroof, Navigation System, Backup Camera, Blind Spot Monitoring, Heated Seats, Android Auto, CarPlay, Convenience Package",Volkswagen,White,8.0,170.0,1.8,I4,5
62835,Vancouver,1261,Automatic,All-Wheel Drive,Gasoline,"Driver Assistance Package, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Android Auto, CarPlay",Audi,Black,7.0,261.0,2.0,I4,1
37397,Langley,70075,Automatic,Four-Wheel Drive,Gasoline,"Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Heated Seats, CarPlay",Chevrolet,Gray,7.0,308.0,3.6,V6,4
16895,Vancouver,51300,Automatic,Front-Wheel Drive,Gasoline,,MINI,Gray,-1.0,134.0,1.5,I3,5
33947,Abbotsford,25521,Automatic,Four-Wheel Drive,Diesel,"Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats, Android Auto, CarPlay",Chevrolet,White,9.0,137.0,1.6,I4,3
18990,New Westminster,60000,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Heated Seats, Backup Camera",Honda,White,3.0,141.0,1.8,I4,6
40005,Vancouver,4247,Automatic,Front-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Remote Start",Ford,Blue,3.0,272.65777777777777,2.0,I4,1
29995,Surrey,105000,Automatic,Four-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Alloy Wheels",Chevrolet,Silver,3.0,355.0,5.3,V8,4
31988,Victoria,36518,Automatic,All-Wheel Drive,Gasoline,"Backup Camera, Sunroof/Moonroof, Navigation System, Heated Seats",Toyota,Gray,4.0,176.0,2.5,I4,4
37998,Nanaimo,11464,Automatic,All-Wheel Drive,Gasoline,"Backup Camera, Sunroof/Moonroof, Blind Spot Monitoring, Parking Sensors, Heated Seats, Third Row Seating",Mitsubishi,White,6.0,181.0,2.5,I4,0
12869,Surrey,56000,Automatic,Front-Wheel Drive,Gasoline,,MINI,Red,-1.0,181.0,1.6,I4,10
8995,Surrey,182000,Automatic,Front-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Heated Seats",Honda,Black,7.0,271.0,3.5,V6,11
74990,Surrey,19871,Automatic,All-Wheel Drive,Gasoline,,Volvo,White,-1.0,415.0,2.0,I4,2
39990,New Westminster,48000,Automatic,Four-Wheel Drive,Gasoline,"Leather Seats, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Parking Sensors, Heated Seats, Tow Package",RAM,Other,8.0,395.0,5.7,V8,3
18888,Victoria,135073,Automatic,Four-Wheel Drive,Gasoline,"Bluetooth, Leather Seats, Sunroof/Moonroof, Parking Sensors, Heated Seats, Alloy Wheels",Jeep,Gray,6.0,290.0,3.6,V6,7
60998,Nanaimo,12445,Automatic,Four-Wheel Drive,Gasoline,"Bluetooth, Sunroof/Moonroof, Remote Start, Heated Seats",Toyota,Black,4.0,278.0,3.5,V6,2
64440,Victoria,4504,Automatic,All-Wheel Drive,Gasoline,Premium Package,BMW,White,1.0,248.0,2.0,I4,1
32400,Burnaby,45103,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Blind Spot Monitoring, Adaptive Cruise Control, Heated Seats, Alloy Wheels",Toyota,White,6.0,203.0,2.5,I4,3
44525,Victoria,45584,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Premium Package",BMW,Blue,2.0,248.0,2.0,I4,3
64888,Surrey,24201,Automatic,All-Wheel Drive,Diesel,"Alloy Wheels, Third Row Seating",Land,Black,2.0,254.0,3.0,V6,3
5900,Abbotsford,189500,Automatic,Front-Wheel Drive,Gasoline,,Toyota,Black,-1.0,155.0,2.4,I4,19
42447,Abbotsford,1550,Automatic,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Blind Spot Monitoring, Trim Package, Heated Seats, Tow Package, Android Auto, CarPlay, Multi Zone Climate Control, Bluetooth, Backup Camera",Mazda,Silver,14.0,250.0,2.5,I4,1
32988,Surrey,18332,Automatic,All-Wheel Drive,Gasoline,,Toyota,Silver,-1.0,203.0,2.5,I4,3
52721,Abbotsford,19687,Automatic,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Remote Start, Heated Seats, Android Auto, CarPlay",Acura,White,12.0,290.0,3.5,V6,2
9995,Victoria,222812,Automatic,Four-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Parking Sensors, Navigation System, Heated Seats, Alloy Wheels",Land,Black,6.0,300.0,4.4,V8,15
15399,Westshore,55340,Automatic,Front-Wheel Drive,Gasoline,,Chevrolet,Silver,-1.0,138.0,1.8,I4,4
61467,Surrey,4500,Automatic,All-Wheel Drive,Gasoline,"Sunroof/Moonroof, Navigation System, Technology Package, Bluetooth, Backup Camera, Blind Spot Monitoring, Remote Start, Parking Sensors, Heated Seats, Android Auto, CarPlay, Convenience Package",Mercedes-Benz,Black,12.0,255.0,2.0,I4,1
38890,Vancouver,24780,Automatic,Front-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats",Toyota,White,9.0,206.0,2.5,I4,2
21888,Coquitlam,40573,Automatic,Rear-Wheel Drive,Gasoline,Backup Camera,Ford,Green,1.0,300.0,3.7,V6,6
27749,Surrey,2287,Automatic,Front-Wheel Drive,Gasoline,,Mazda,Silver,-1.0,186.0,2.5,I4,1
25980,Surrey,20166,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Alloy Wheels",Mitsubishi,Red,3.0,152.0,1.5,I4,3
7999,Surrey,156750,Automatic,All-Wheel Drive,Gasoline,DVD Entertainment System,Nissan,White,1.0,170.0,2.5,I4,9
34888,Surrey,91895,Automatic,All-Wheel Drive,Gasoline,,Honda,Black,-1.0,280.0,3.5,V6,4
32888,Vancouver,37000,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Heated Seats, Alloy Wheels, Third Row Seating",Kia,Blue,5.0,276.0,3.3,V6,2
9998,Chilliwack,192229,Automatic,Front-Wheel Drive,Gasoline,Bluetooth,Toyota,Other,1.0,179.0,2.5,I4,13
36500,Surrey,45946,Automatic,Rear-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Heated Seats, Quick Order Package",Chrysler,Black,9.0,300.0,3.6,V6,2
26995,Langley City,102117,Automatic,All-Wheel Drive,Gasoline,,RAM,White,-1.0,383.0,5.7,V8,8
20888,Vancouver,16961,Manual,Front-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Heated Seats, Alloy Wheels",Nissan,Black,4.0,122.0,1.6,I4,3
48990,Vancouver,2596,Automatic,Four-Wheel Drive,Gasoline,"Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Parking Sensors, Heated Seats, Android Auto, CarPlay",Chevrolet,Silver,10.0,310.0,3.6,V6,1
14900,Langley City,73950,Automatic,Front-Wheel Drive,Gasoline,,Honda,White,-1.0,185.0,2.4,I4,7
26999,Richmond,48183,Automatic,All-Wheel Drive,Gasoline,,Nissan,Black,-1.0,284.0,3.5,V6,5
44995,Richmond,64000,Automatic,All-Wheel Drive,Diesel,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Heat Package, Premium Package, Heated Seats, CarPlay, Multi Zone Climate Control",BMW,White,12.0,255.0,3.0,I6,5
25995,North Vancouver,42495,Automatic,All-Wheel Drive,Gasoline,Premium Package,BMW,Gray,1.0,240.0,2.0,I4,7
26132,Abbotsford,48073,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Leather Seats, Backup Camera, Android Auto, CarPlay",Jeep,Silver,5.0,180.0,2.4,I4,3
24900,Langley City,35003,Automatic,All-Wheel Drive,Hybrid,,Toyota,Gray,-1.0,272.65777777777777,1.8,I4,6
18347,Vancouver,75439,Automatic,Front-Wheel Drive,Flex Fuel Vehicle,"Bluetooth, Backup Camera",Chrysler,Gray,2.0,283.0,3.6,V6,7
18800,Vancouver,188947,Manual,Four-Wheel Drive,Gasoline,,Toyota,Black,-1.0,239.0,4.0,V6,15
59888,Coquitlam,27961,Automatic,Four-Wheel Drive,Gasoline,"Navigation System, Backup Camera, Remote Start, Blind Spot Monitoring, Parking Sensors, Heated Seats, Tow Package, Quick Order Package",Jeep,Black,8.0,285.0,3.6,V6,2
25900,Langley City,173026,Automatic,All-Wheel Drive,Flex Fuel Vehicle,"Sunroof/Moonroof, Power Package, Navigation System, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats, Tow Package",Cadillac,White,9.0,403.0,6.2,V8,9
6500,New Westminster,75000,Automatic,Front-Wheel Drive,Gasoline,,Chrysler,Black,-1.0,173.0,2.4,I4,9
32189,Richmond,48712,Automatic,Rear-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats",Chrysler,Other,10.0,292.0,3.6,V6,3
76900,North Vancouver,7156,Automatic,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Adaptive Suspension, Blind Spot Monitoring, Heat Package, Parking Sensors, Premium Package, Heated Seats, Android Auto, CarPlay, Multi Zone Climate Control, Bluetooth, Backup Camera, Remote Start, Comfort Package, Convenience Package",BMW,Black,19.0,335.0,3.0,I6,1
18990,Chilliwack,102151,Automatic,All-Wheel Drive,Gasoline,"Backup Camera, Navigation System, Heated Seats, Alloy Wheels",Cadillac,Silver,4.0,272.0,2.0,I4,8
46951,Abbotsford,23137,Manual,Rear-Wheel Drive,Gasoline,"Bluetooth, Leather Seats, Backup Camera, Parking Sensors, Alloy Wheels",Dodge,Other,5.0,485.0,6.4,V8,6
27295,Langley,18644,Automatic,Front-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Heated Seats, Alloy Wheels",Kia,Gray,4.0,181.0,2.4,I4,1
4490,New Westminster,247000,Automatic,All-Wheel Drive,Gasoline,,Toyota,Gray,-1.0,148.0,2.0,I4,19
25998,Surrey,9881,Automatic,All-Wheel Drive,Gasoline,"Sunroof/Moonroof, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Heated Seats",Mazda,Other,7.0,186.0,2.5,I4,3
50881,Burnaby,17000,Automatic,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Sunroof/Moonroof, Navigation System, Heated Seats",Volkswagen,Other,5.0,272.65777777777777,3.6,V6,1
14995,Port Coquitlam,33939,Manual,Front-Wheel Drive,Gasoline,,Chevrolet,Gray,-1.0,272.65777777777777,1.4,I4,3
18900,Chilliwack,14650,Manual,Front-Wheel Drive,Gasoline,"Steel Wheels, Bluetooth, Backup Camera, Adaptive Cruise Control, Heated Seats",Toyota,Red,5.0,132.0,1.8,I4,5
